"","Probe_ID","Gene_Symbol","Ensembl_Gene_ID","GSM60914","GSM60936","GSM60937","GSM60938","GSM60939","GSM60940","GSM60941","GSM60942","GSM60943","GSM60944","GSM60945","GSM60946","GSM60947","GSM60948","GSM60949","GSM60950","GSM60951","GSM60952","GSM60953","GSM60954","GSM60955","GSM60956","GSM60957","GSM61474"
"1352",1338,"1338","1338","0.243511848","0.244379157","-0.005018075","0.093192969","0.169567943",NA,NA,NA,NA,"-0.153506322","0.025543166","0.131415438","0.008568794","-0.90574241","-0.133231141","-0.107594119","-0.490179197","0.045240379","-0.142481473","0.247026111","0.141690255","0.284716169","0.174088626",1.144036697
"1353",1339,"FABP4","ENSG00000170323","0.023505585","0.325293518","0.07617168","-0.456477334","-0.240845487",NA,"0.071277414","0.109860056","0.567240731","0.439990178","0.190169507","0.708936237","0.362871363","-0.450957074","0.209245445","0.130209703","0.316528835","0.205127709","0.63131609","0.627935598","0.085388198","-0.216631892","-0.165762421",1.191848907
"1354",1340,"FABP4","ENSG00000170323","0.238807477","0.608055468","0.346818313","0.016190736","-0.416491096","0.350988521","-0.056260573","0.075452228","0.206038384","0.200418094","0.257793117","0.288187883","0.346346277","-0.278932033","0.003723086","-0.16441573","0.114440456","0.134197297","0.5942333","0.719826651","0.398151564","0.007325997","-0.203877156",1.057834758
"1355",1341,"1341","1341","0.088190483","0.930173286","0.336401341","0.035345241","0.05734955",NA,NA,"0.10105099","-0.297370991","0.392461682","0.104683987","-0.023390366","0.112179574","0.362634507","0.097776582","0.202834041","-0.237053256","-0.130787295","0.020900575","-0.257619423","-0.078835053","-0.055761053","-0.190516847",1.097458437
"1356",1342,"1342","1342","0.018734223","-0.021292481","0.579376066","-0.088318843","0.002103751",NA,NA,"0.035525754","0.227024531","0.356953616","0.031604288","-0.084356105","-0.019660953","-0.031506876","0.050214577","0.175519718","-0.195205776","-0.079666558","0.173922785","-0.197109884","0.021663693","-0.153435539","-0.133919595",1.11049226
"1357",1343,"NEURL","1343","-0.248057305","0.051771524","0.16002654","-0.058311733","-0.019922458",NA,NA,NA,NA,"0.338961292","-0.273626763","-0.063638286","0.284126062","0.372077165","-0.029285562","-0.108843416","-0.287312404","0.124447371",NA,NA,"0.006597406","-0.021210247","-0.352508527",0.904315197
"1358",1344,"NEURL","1344","-0.03869529","0.266064776","0.200912694","0.41013156","0.198705851",NA,NA,NA,NA,"0.074161348","0.359968847",NA,"0.079672142","0.217937364","-0.222141975","0.010255064","0.693244217","0.080518447",NA,NA,"0.163563164","-0.234955883","0.157356328",1.249472574
"1359",1345,"SCRIB","ENSG00000274287","-0.151196061","0.121063652","-0.210539742","-0.030790737","0.527025914","0.046873403","-0.009662139","0.06941214","0.109518843","-0.060682607","0.204953212","-0.235892786","0.273005168","-0.084861454","0.348928058","-0.060470839","-0.237563904","-0.232850471",NA,NA,"-0.097190718","0.367836196","0.432530735",0.85983083
"1360",1346,"SCRIB","ENSG00000274287","0.287597187","-0.014972846","0.129273683","-0.083779158","0.374340684","-0.188418329","0.155805045","0.019605408","-0.026009198","0.117615962","0.292459043","0.183835424","0.002589573","-0.320474498","0.480849745","0.106668336","-0.008050475","-0.209974996",NA,NA,"-0.184682941","0.003063755","0.257044538",0.863012573
"1361",1347,"CKM","ENSG00000104879","-0.010844412","0.121729427","-0.234216547","-0.02565024","0.347715401","0.100928909","-0.968739739","-0.211839436","-0.524097385","0.3162503","-0.043797959","-0.170916204","-0.020152651","-0.102926767","0.193580779","0.133327073","-0.233160679","0.142678623",NA,"0.040674355","0.050237485","0.007754762","0.039298593",0.907891144
"1362",1348,"CKM","ENSG00000104879","0.100871808","-0.007555721","0.140991752","0.240885662","0.363429633","-0.005797845","-0.227415738","-0.214566213","-0.355130375","0.375147859","0.259670499","-0.125405072","-0.039163659","-0.183028358","0.005873806","0.162794927","-0.201645925","-0.231744699","-0.157438382","0.186191228","0.040226144","-0.105934585","0.045347371",0.972595729
"1363",1349,"CALU","ENSG00000128595","-0.040473486","0.243377903","0.012355443","0.243224541","0.082620942","-0.029198616","0.136889887","0.118718878",NA,"-0.015261188","0.141943433","0.008993492","0.120201106","-0.001394313","0.091978839","0.010148915","0.081847967","0.014502373","-0.04123096","0.063533062","-0.003023413","0.236910555","0.327479686",1.10200849
"1364",1350,"CALU","ENSG00000128595","0.008289609","0.192010545","0.027504844","0.141213133","0.123105939","-0.103117903","0.142741937","0.159852396","0.1153875","-0.304795883","-0.018854814","0.040470733","0.248236314","-0.418125461","0.297070633","0.090430379","0.273736405","0.039912401","-0.215747648","0.114393761","-0.051470402","0.201850561","-0.03512051",1.044672402
"1365",1351,"ALS2","ENSG00000003393","0.112253062","-0.487168687","-0.151531107","-0.134710309","-0.484435625",NA,NA,NA,NA,"0.100339524","-0.235593878","0.186768512","0.088328545","-0.07948753","-0.191794181","0.08751645","-0.187756841","-0.107627681","0.157134037","0.393303207","-0.060631781","-0.130373077","-0.250306672",1.02432552
"1366",1352,"ALS2","ENSG00000003393","0.300688471","-0.088980491","-0.184800061","0","0.152664728",NA,NA,NA,NA,"-0.034920654","-0.219926084","-0.418657815","0.106320278","0.035090664","0.082238261","0.014053536","-0.06834279","0.650104754","-0.041099756","0.078698961","-0.470119574","-0.017877491","-0.209270917",0.996202532
"1367",1353,"PRPS1","ENSG00000147224","0.189342455","0.129053652","-0.230851082","-0.371433792","-0.554200247",NA,NA,NA,NA,"-0.186744127","0.221433501","-0.263034406","0.058925344","-0.036286206","0.185471045","-0.098099441","-0.47888991","-0.534169833","0.100331643","0.081595193","-0.394567219","-0.164445072","0.138383484",0.855862584
